,food_id,food_group,food_subgroup,name_scientific,description
106,136,Fruits,Berries,Photinia melanocarpa,"Aronia, the chokeberries, are deciduous shrubs in the family Rosaceae, native to eastern North America and most commonly found in wet woods and swamps. The genus is usually considered to contain two or three species, one of which is naturalized in Europe. A fourth form that has long been cultivated under the name Aronia is now considered to be an intergeneric hybrid, Sorbaronia mitschurinii.
Chokeberries are cultivated as ornamental plants and as food products. The berries can be eaten raw off the bush but are more frequently processed. Chokeberries can be found in wine, jam, syrup, juice, soft spreads, tea, salsa, chili starters, extracts, beer, ice cream, gummies and tinctures. The name ""chokeberry"" comes from the astringency of the fruits, which create a sensation making your mouth pucker."
107,138,Dairy and Fat,Nuts,Pinus,"Pine nuts are the edible seeds of pines (family Pinaceae, genus Pinus). About 20 species of pine produce seeds large enough to be worth harvesting; in other pines the seeds are also edible, but are too small to be of great value as a human food."
108,139,Herbs and Spices,Spices,Piper nigrum,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae, cultivated for its fruit, which is usually dried and used as a spice and seasoning. The fruit, known as a peppercorn when dried, is approximately 5 millimetres in diameter, dark red when fully mature, and, like all drupes, contains a single seed. Peppercorns, and the ground pepper derived from them, may be described simply as pepper, or more precisely as black pepper (cooked and dried unripe fruit), green pepper (dried unripe fruit) and white pepper (dried ripe seeds). Black pepper is native to south India, and is extensively cultivated there and elsewhere in tropical regions. Currently Vietnam is the world's largest producer and exporter of pepper, producing 34% of the world's Piper nigrum crop as of 2008. Dried ground pepper has been used since antiquity for both its flavour and as a medicine. Black pepper is the world's most traded spice. It is one of the most common spices added to European cuisine and its descendants. The spiciness of black pepper is due to the chemical piperine, not to be confused with the capsaicin that gives fleshy peppers theirs. It is ubiquitous in the modern world, often paired with salt."
109,140,Dairy and Fat,Nuts,Pistacia vera,"The pistachio, Pistacia vera in the Anacardiaceae family, is a small tree originally from Greater Iran which now can also be found in regions of Syria, Lebanon, Turkey, Greece, Tunisia, Kyrgyzstan, Tajikistan, Turkmenistan, India, Pakistan, Egypt, Italy, Uzbekistan, Afghanistan (especially in the provinces of Samangan and Badghis), and the United States, specifically in California. The tree produces an important culinary nut. Pistacia vera often is confused with other species in the genus Pistacia that are also known as pistachio. These species can be distinguished from P. vera by their geographic distributions (in the wild) and their nuts which are much smaller, have a strong flavor of turpentine, and have a shell that is not hard."
110,141,Grains,Peas,Pisum sativum,"The pea is most commonly the small spherical seed or the seed-pod of the pod fruit Pisum sativum. Each pod contains several peas. Peapods are botanically a fruit, since they contain seeds developed from the ovary of a (pea) flower. However, peas are considered to be a vegetable in cooking. The name is also used to describe other edible seeds from the Fabaceae such as the pigeon pea (Cajanus cajan), the cowpea (Vigna unguiculata), and the seeds from several species of Lathyrus. P. sativum is an annual plant, with a life cycle of one year. It is a cool season crop grown in many parts of the world; planting can take place from winter to early summer depending on location. The average pea weighs between 0.1 and 0.36 grams. The immature peas (and in snow peas the tender pod as well) are used as a vegetable, fresh, frozen or canned; varieties of the species typically called field peas are grown to produce dry peas like the split pea shelled from the matured pod. These are the basis of pease porridge and pea soup, staples of medieval cuisine; in Europe, consuming fresh immature green peas was an innovation of Early Modern cuisine. The wild pea is restricted to the Mediterranean basin and the Near East. The earliest archaeological finds of peas date from the neolithic era of current Syria, Turkey and Jordan. In Egypt, early finds date from ca. 4800–4400 BC in the Nile delta area, and from ca. 3800–3600 BC in Upper Egypt. The pea was also present in Georgia in the 5th millennium BC. Farther east, the finds are younger. Peas were present in Afghanistan ca. 2000 BC, in Harappa, Pakistan, and in northwest India in 2250–1750 BC. In the second half of the 2nd millennium BC, this pulse crop appears in the Gangetic basin and southern India."
111,142,Herbs and Spices,Herbs,Portulaca oleracea,"Purslane is a common name for several plants with edible leaves and may refer to: Portulacaceae, a family of succulent flowering plants, and especially: Portulaca oleracea, a species of Portulaca eaten as a vegetable and considered a weed, known as summer purslane Portulaca grandiflora, moss rose, or moss-rose purslane Claytonia perfoliata, Miner's lettuce or winter purslane Claytonia sibirica, pink purslane Halimione portulacoides, sea purslane"
112,143,Fruits,Drupes,Prunus,"Prunus is a genus of trees and shrubs, which includes the plums, cherries, peaches, nectarines, apricots and almonds. Around 430 species are spread throughout the northern temperate regions of the globe. Many members of the genus are widely cultivated for fruit and ornament. The fruit from this genus are commonly called the stone fruit."
113,144,Fruits,Drupes,Prunus armeniaca,"An apricot is a fruit or the tree that bears the fruit. Usually, an apricot tree is from the tree species Prunus armeniaca, but the species Prunus brigantina, Prunus mandshurica, Prunus mume, and Prunus sibirica are closely related, have similar fruit, and are also called apricots."
114,145,Fruits,Drupes,Prunus avium,"Prunus avium, commonly called wild cherry, sweet cherry, bird cherry, or gean, is a species of cherry native to Europe, western Turkey, northwestern Africa, and western Asia, from the British Isles south to Morocco and Tunisia, north to the Trondheimsfjord region in Norway and east to the Caucasus and northern Iran, with a small disjunct population in the western Himalaya. This species, in the rose family (Rosaceae), has a diploid set of sixteen chromosomes (2n=16). All parts of the plant except for the ripe fruit are slightly toxic, containing cyanogenic glycosides."
115,146,Fruits,Drupes,Prunus cerasus,"Prunus cerasus (sour cherry, tart cherry or wild cherry) is a species of Prunus in the subgenus Cerasus (cherries), native to much of Europe and southwest Asia. It is closely related to the sweet cherry (Prunus avium), but has a fruit that is more acidic, has greater nutritional benefits, and may have greater medicinal effects. Dried sour cherries are used in cooking including soups, pork dishes, cakes, tarts, and pies. Sour cherries or sour cherry syrup are used in liqueurs and drinks. In Turkey, Greece and Cyprus, sour cherries are especially prized for making spoon sweets by slowly boiling pitted sour cherries and sugar; the syrup thereof is used for vişne şurubu or vyssináda, a beverage made by diluting the syrup with ice-cold water. A particular use of sour cherries is in the production of kriek lambic, a cherry-flavored variety of a naturally fermented beer made in Belgium [Wikipedia]."
116,147,Fruits,Drupes,Prunus domestica,"Prunus domestica (sometimes referred to as Prunus × domestica) is a species of flowering plant in the family Rosaceae. A deciduous tree, it includes many varieties of the fruit trees known as plums in English, though not all plums belong to this species. The greengages and damsons also belong to subspecies of P. domestica.
Its hybrid parentage is believed to be Prunus spinosa and Prunus cerasifera. This is the most commonly grown plum at least in Europe, and most prunes (dried plums) are made from fruits of this species."
117,148,Dairy and Fat,Nuts,Prunus dulcis,"The almond (Prunus dulcis, syn. Prunus amygdalus, Amygdalus communis, Amygdalus dulcis) (or badam in Indian English, from Persian:  بادام ) is a species of tree native to the Middle East and South Asia. ""Almond"" is also the name of the edible and widely cultivated seed of this tree. Within the genus Prunus, it is classified with the peach in the subgenus Amygdalus, distinguished from the other subgenera by the corrugated shell (endocarp) surrounding the seed.
The fruit of the almond is a drupe, consisting of an outer hull and a hard shell with the seed (which is not a true nut) inside. Shelling almonds refers to removing the shell to reveal the seed. Almonds are sold shelled (i.e., after the shells are removed), or unshelled (i.e., with the shells still attached). Blanched almonds are shelled almonds that have been treated with hot water to soften the seedcoat, which is then removed to reveal the white embryo."
118,149,Fruits,Drupes,Prunus persica,"The peach (Prunus persica) is a deciduous tree, native to North-West China, in the region between the Tarim basin and the north slopes of the Kunlun Shan mountains, where it was first domesticated and cultivated. It bears an edible juicy fruit also called a peach. The species name persica refers to its widespread cultivation in Persia, whence it was transplanted to Europe. It belongs to the genus Prunus which includes the cherry and plum, in the family Rosaceae. The peach is classified with the almond in the subgenus Amygdalus, distinguished from the other subgenera by the corrugated seed shell."
119,150,Fruits,Tropical fruits,Psidium guajava,"Guavas (singular guava) are plants in the Myrtle family (Myrtaceae) genus Psidium, which contains about 100 species of tropical shrubs and small trees. They are native to Mexico, Central America, and northern South America. Guavas are now cultivated and naturalized throughout the tropics and subtropics in Africa, South Asia, Southeast Asia, the Caribbean, subtropical regions of North America, Hawaii, New Zealand, Australia and Spain.
In many countries, guava is eaten raw, typically cut into quarters or eaten like an apple, whereas in other countries it's eaten with a pinch of salt and pepper, cayenne powder or a mix of spices (masala). It is known as the winter national fruit of Pakistan. In the Philippines, ripe guava is used in cooking sinigang. Guava is a popular snack in Taiwan, sold on many street corners and night markets during hot weather, accompanied by packets of dried plum powder mixed with sugar and salt for dipping. In east Asia, guava is commonly eaten with sweet and sour dried plum powder mixtures. Guava juice is popular in many countries. The fruit is also often prepared in fruit salads."
120,151,Fruits,Tropical fruits,Punica granatum,"The pomegranate, scientific name Punica granatum, is a fruit-bearing deciduous shrub or small tree growing between 5–8 metres tall. Native to an area from the eastern Mediterranean Basin to India, the pomegranate has been cultivated over millennia, including today throughout the Mediterranean, Middle East and Caucasus regions, northern Africa and tropical Africa, the Indian subcontinent and the drier parts of southeast Asia. Introduced into Latin America and California by Spanish settlers in 1769, pomegranate is also cultivated in parts of California and Arizona. In the Northern Hemisphere, the fruit is typically in season from September to February. In the Southern Hemisphere, the pomegranate is in season from March to May. The pomegranate has been mentioned in many ancient texts, notably in Babylonian texts, the Book of Exodus, the Homeric Hymns and the Quran. In recent years, it has become more common in the commercial markets of North America and the Western Hemisphere. Pomegranates are used in cooking, baking, juices, smoothies and alcoholic beverages, such as martinis and wine."
121,152,Fruits,Pomes,Pyrus communis,"The pear is any of several tree and shrub species of genus Pyrus, in the family Rosaceae. It is also the name of the pomaceous fruit of these trees. Several species of pear are valued by humans for their edible fruit, while others are cultivated as ornamental trees. The genus Pyrus is classified in subtribe Pyrinae within tribe Pyreae."
122,153,Vegetables,Root vegetables,Raphanus sativus,"The radish (Raphanus sativus) is an edible root vegetable of the Brassicaceae family that was domesticated in Europe in pre-Roman times. They are grown and consumed throughout the world. Radishes have numerous varieties, varying in size, color and duration of required cultivation time. There are some radishes that are grown for their seeds; oilseed radishes are grown, as the name implies, for oil production. Radish can sprout from seed to small plant in as little as 3 days."
123,154,Vegetables,Stalk vegetables,Rheum rhabarbarum,"Rheum rhabarbarum, Rhubarb is a species of plant in the family Polygonaceae. They are herbaceous perennials growing from short, thick rhizomes. They have large leaves that are somewhat triangular, with long fleshy petioles. They have small flowers grouped in large compound leafy greenish-white to rose-red inflorescences. In culinary use, fresh raw petioles (leaf stalks) are crisp (similar to celery) with a strong, tart taste. Most commonly, the plant's leaf stalks are cooked with sugar and used in pies and other desserts. A number of varieties have been domesticated for human consumption, most of which are recognised as Rheum x hybridum by the Royal Horticultural Society. Rhubarb is usually considered to be a vegetable; however, in the United States, a New York court decided in 1947 that since it was used in the United States as a fruit, it was to be counted as a fruit for the purposes of regulations and duties. A side effect was a reduction on imported rhubarb tariffs, as tariffs were higher for vegetables than fruits. Rhubarb also contains glycosides especially rhein, glucorhein and emodin which impart cathartic and laxative activities to it. It is hence useful as a cathartic in case of constipation. Rhubarb, raw Nutritional value per 100 g Energy 88 kJ Carbohydrates 4.54 g - Sugars 1.1 g - Dietary fibre 1.8 g Fat 0.2 g Protein 0.9 g Water 93.61 g Folate (vit. B9) 7 μg (2%) Vitamin C 8 mg (10%) Vitamin E 0.27 mg (2%) Vitamin K 29.3 μg (28%) Calcium 86 mg (9%) Iron 0.22 mg (2%) Potassium 288 mg (6%) Sodium 4 mg (0%) Zinc 0.1 mg (1%) Percentages are relative toUS recommendations for adults."
124,155,Fruits,Berries,Ribes nigrum,"Blackcurrant, with the scientific name Ribes nigrum, is a species of Ribes native to central and northern Europe, and northern Asia. It is widely cultivated commercially and domestically as a temperate fruit crop for its abundant berries. It is less well known in the United States where it has been subject to restrictions as a disease vector for most of the 20th century."
125,156,Fruits,Berries,Ribes rubrum,"The redcurrant (or red currant), Ribes rubrum, is a member of the genus Ribes in the gooseberry family Grossulariaceae, native to parts of western Europe. It is a deciduous shrub normally growing to 1-1.5 m tall, occasionally 2 m, with five-lobed leaves arranged spirally on the stems. The flowers are inconspicuous yellow-green, in pendulous 4–8 cm racemes, maturing into bright red translucent edible berries about 8–12 mm diameter, with 3-10 berries on each raceme. An established bush can produce 3-4 kilos of berries from mid to late summer."
126,157,Fruits,Berries,Ribes uva-crispa,"The gooseberry (with scientific names Ribes uva-crispa, is a species of Ribes . It is native to Europe, northwestern Africa, west, south and southeast Asia. Gooseberry bushes produce an edible fruit and are grown on both a commercial and domestic basis. Although usually placed as a subgenus within Ribes, a few taxonomists treat Grossularia as a separate genus, although hybrids between gooseberry and blackcurrant are possible. The subgenus Grossularia differs somewhat from currants, chiefly in their spiny stems, and in that their flowers grow one to three together on short stems, not in racemes. It is one of several similar species in the subgenus Grossularia; for the other related species, see the genus page Ribes."
127,158,Herbs and Spices,Herbs,Rorippa nasturtium-aquaticum,"Watercress (Nasturtium officinale), is a fast-growing, aquatic or semi-aquatic, perennial plant native to Europe and Asia, and one of the oldest known leaf vegetables consumed by humans. It is a member of the family Brassicaceae, botanically related to garden cress, mustard and radish — all noteworthy for a peppery, tangy flavour. The hollow stems of watercress are floating, and the leaves are pinnately compound. Small, white and green flowers are produced in clusters."
128,159,Herbs and Spices,Herbs,Rosmarinus officinalis,"Rosmarinus officinalis, commonly known as rosemary, is a woody, perennial herb with fragrant, evergreen, needle-like leaves and white, pink, purple, or blue flowers, native to the Mediterranean region. It is a member of the mint family Lamiaceae, which includes many other herbs. The name ""rosemary"" derives from the Latin for ""dew"" (ros) and ""sea"" (marinus), or ""dew of the sea"". The plant is also sometimes called anthos, from the ancient Greek word, meaning ""flower"".
Rosemary is used as a decorative plant in gardens and has many culinary and medical uses. The plant is said to improve the memory. The leaves are used to flavor various foods, such as stuffings and roast meats."
129,160,Fruits,Berries,Rubus,"Rubus is a large genus of flowering plants in the rose family, Rosaceae, subfamily Rosoideae. Raspberries, blackberries, and dewberries are common, widely distributed members of the genus. Most of these plants have woody stems with prickles like roses; spines, bristles, and gland-tipped hairs are also common in the genus. The Rubus fruit, sometimes called a bramble fruit, is an aggregate of drupelets. The term ""cane fruit"" (or ""cane-fruit"") applies to any Rubus species or hybrid which is commonly grown with supports such as wires or canes, including raspberries, blackberries, and hybrids such as loganberry, boysenberry and tayberry."
130,162,Fruits,Berries,Rubus idaeus,"Rubus idaeus (raspberry, also called red raspberry or occasionally as European raspberry to distinguish it from other raspberries) is a red-fruited species of Rubus native to Europe and northern Asia and commonly cultivated in other temperate regions.
The fruit is red, edible, and sweet but tart-flavoured, produced in summer or early autumn; in botanical terminology, it is not a berry at all, but an aggregate fruit of numerous drupelets around a central core. In raspberries (various species of Rubus subgenus Idaeobatus), the drupelets separate from the core when picked, leaving a hollow fruit, whereas in blackberries and most other species of Rubus, the drupelets stay attached to the core."
131,164,Herbs and Spices,Herbs,Rumex acetosa,"Common sorrel or garden sorrel (Rumex acetosa), often simply called sorrel, is a perennial herb in the family Polygonaceae. Other names for sorrel include spinach dock and narrow-leaved dock. It is a common plant in grassland habitats and is cultivated as a garden herb or leaf vegetable (pot herb)."
132,165,Herbs and Spices,Herbs,Salvia officinalis,"Salvia officinalis (sage, also called garden sage, or common sage) is a perennial, evergreen subshrub, with woody stems, grayish leaves, and blue to purplish flowers. It is a member of the family Lamiaceae and is native to the Mediterranean region, though it has naturalized in many places throughout the world. It has a long history of medicinal and culinary use, and in modern times as an ornamental garden plant. The common name ""sage"" is also used for a number of related and unrelated species."
133,166,Fruits,Berries,Sambucus nigra,"Sambucus nigra is a species complex of flowering plants in the family Adoxaceae, native to most of Europe. Common names include elder, elderberry, black elder, European elder, European elderberry and European black elderberry, It grows in a variety of conditions including both wet and dry fertile soils, primarily in sunny locations."
134,169,Grains,Cereals,Secale cereale,"Rye (Secale cereale) is a grass grown extensively as a grain and as a forage crop. It is a member of the wheat tribe and is closely related to barley (Hordeum) and wheat (Triticum). Rye grain is used for flour, rye bread, rye beer, some whiskeys, some vodkas, and animal fodder. It can also be eaten whole, either as boiled rye berries, or by being rolled, similar to rolled oats. Rye is a cereal grain and should not be confused with ryegrass, which is used for lawns, pasture, and hay for livestock."
135,170,Herbs and Spices,Oilseed crops,Sesamum orientale,"Sesame is a flowering plant in the genus Sesamum. Numerous wild relatives occur in Africa and a smaller number in India. It is widely naturalized in tropical regions around the world and is cultivated for its edible seeds, which grow in pods. Sesame seed is considered to be the oldest oilseed crop known, domesticated well over 5000 years ago. Sesame is very drought-tolerant. It has been called a survivor crop, with an ability to grow where most crops fail. Sesame has one of the highest oil contents of any seed. With a rich nutty flavor, it is a common ingredient in cuisines across the world. Sesame, like other nuts and foods, can trigger allergic reactions in some people. The world harvested about 3.84 million metric tonnes of sesame seeds in 2010. The largest producer of sesame seeds in 2010 was Burma. The world's largest exporter of sesame seeds was India, and Japan the largest importer."
136,171,Vegetables,Fruit vegetables,Solanum lycopersicum,"The tomato is the edible, often red fruit/berry of the nightshade Solanum lycopersicum, commonly known as a tomato plant. The species originated in the South American Andes and its use as a food originated in Mexico, and spread throughout the world following the Spanish colonization of the Americas. Its many varieties are now widely grown, sometimes in greenhouses in cooler climates.
The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks. While it is botanically a fruit, it is considered a vegetable for culinary purposes (as well as under U.S. customs regulations, see Nix v. Hedden), which has caused some confusion. The fruit is rich in lycopene, which may have beneficial health effects."
137,172,Vegetables,Fruit vegetables,Solanum lycopersicum var. cerasiforme,"A cherry tomato is a very small variety of tomato that has been cultivated since at least the early 1800s and thought to have originated in Peru and Northern Chile. Cherry tomatoes range in size from a thumbtip up to the size of a golf ball, and can range from being spherical to slightly oblong in shape. The more oblong ones often share characteristics with plum tomatoes, and are known as grape tomatoes. The berry tomato is regarded as a botanical variety of the cultivated berry, Solanum lycopersicum var. cerasiforme"
138,173,Vegetables,Fruit vegetables,Solanum lycopersicum var. lycopersicum,
139,174,Vegetables,Fruit vegetables,Solanum melongena,"The plant known in North America as the eggplant, Solanum melongena, is a species of flowering plant known in French and British English as the aubergine. Also known as the brinjal, brinjal eggplant, melongene, or guinea squash, it is a member of the family Solanaceae. It bears a fruit of the same name, eggplant or aubergine, widely used in cooking, most notably moussaka and ratatouille. As a nightshade (Solanum), it is closely related to both the tomato and the potato. It was domesticated in India from the wild nightshade, the thorn or bitter apple, S. incanum."
140,175,Vegetables,Tubers,Solanum tuberosum,"The potato is a starchy, tuberous crop from the perennial Solanum tuberosum of the Solanaceae family (also known as the nightshades). The word may refer to the plant itself as well as the edible tuber. In the region of the Andes, there are some other closely related cultivated potato species. Potatoes were introduced outside the Andes region four centuries ago, and have become an integral part of much of the world's cuisine. It is the world's fourth-largest food crop, following rice, wheat and maize. Long-term storage of potatoes requires specialised care in cold warehouses. Wild potato species occur throughout the Americas, from the United States to southern Chile. The potato was originally believed to have been domesticated independently in multiple locations, but later genetic testing of the wide variety of cultivars and wild species proved a single origin for potatoes in the area of present-day southern Peru and extreme northwestern Bolivia (from a species in the Solanum brevicaule complex), where they were domesticated 7,000–10,000 years ago. Following centuries of selective breeding, there are now over a thousand different types of potatoes. Of these subspecies, a variety that at one point grew in the Chiloé Archipelago left its germplasm on over 99% of the cultivated potatoes worldwide. The annual diet of an average global citizen in the first decade of the 21st century included about 33 kg of potato. However, the local importance of potato is extremely variable and rapidly changing. It remains an essential crop in Europe (especially eastern and central Europe), where per capita production is still the highest in the world, but the most rapid expansion over the past few decades has occurred in southern and eastern Asia. China is now the world's largest potato-producing country, and nearly a third of the world's potatoes are harvested in China and India."
141,177,Grains,Cereals,Sorghum bicolor,"Sorghum is a genus of numerous species of grasses, one of which is raised for grain and many of which are used as fodder plants, either cultivated or as part of pasture. The plants are cultivated in warmer climates worldwide. Species are native to tropical and subtropical regions of all continents in addition to the southwest Pacific and Australasia. Sorghum is in the subfamily Panicoideae and the tribe of Andropogoneae."
142,178,Vegetables,Leaf vegetables,Spinacia oleracea,"Spinach (Spinacia oleracea) is an edible flowering plant in the family of Amaranthaceae. It is native to central and southwestern Asia. It is an annual plant, which grows to a height of up to 30 cm. Spinach may survive over winter in temperate regions. The leaves are alternate, simple, ovate to triangular-based, very variable in size from about 2–30 cm long and 1–15 cm broad, with larger leaves at the base of the plant and small leaves higher on the flowering stem. The flowers are inconspicuous, yellow-green, 3–4 mm diameter, maturing into a small, hard, dry, lumpy fruit cluster 5–10 mm across containing several seeds. Common spinach, Spinacia oleracea, was long considered to be in the Chenopodiaceae family, but in 2003, the Chenopodiaceae family was combined with the Amaranthaceae family under the family name 'Amaranthaceae' in the order Caryophyllales. Within the Amaranthaceae family, Amaranthoideae and Chenopodioideae are now subfamilies, for the amaranths and the chenopods, respectively."
143,179,Herbs and Spices,Spices,Syzygium aromaticum,"Cloves are the aromatic flower buds of a tree in the family Myrtaceae, Syzygium aromaticum. They are native to the Maluku Islands in Indonesia, and are commonly used as a spice. Cloves are commercially harvested primarily in Indonesia, India, Madagascar, Zanzibar, Pakistan, Sri Lanka?and the largest producer, Pemba Island, just off the coast of Tanzania.
The clove tree is an evergreen that grows up to 8?12 m tall, with large leaves and sanguine flowers grouped in terminal clusters. The flower buds initially have a pale hue, gradually turn green, then transition to a bright red when ready for harvest. Cloves are harvested at 1.5?2.0 cm long, and consist of a long calyx that terminates in four spreading sepals, and four unopened petals that form a small central ball."
144,180,Fruits,Tropical fruits,Tamarindus indica,"Tamarind (Tamarindus indica) is a leguminous tree in the family Fabaceae indigenous to tropical Africa. The genus Tamarindus is a monotypic taxon, having only a single species. The tamarind tree produces edible, pod-like fruit which are used extensively in cuisines around the world. Other uses include traditional medicines and metal polishes. The wood can be used in carpentry. Because of the tamarind's many uses, cultivation has spread around the world in tropical and subtropical zones."
145,182,Beverages,Cocoa,Theobroma cacao,"Cocoa bean (also cacao bean, often simply cocoa and cacao; Mayan: kakaw; Nahuatl: cacaua) is the dried and fully fermented fatty seed of Theobroma cacao, from which cocoa solids and cocoa butter are extracted. They are the basis of chocolate, as well as many Mesoamerican foods such as mole sauce and tejate. [Wikipedia]"
146,183,Herbs and Spices,Herbs,Thymus vulgaris,"Thymus vulgaris or common thyme is a low growing herbaceous plant, sometimes becoming somewhat woody. It is native to southern Europe, where it is often cultivated as a culinary herb. It typically grows as a sub-shrub, between 15 and 20 cm tall."
147,186,Herbs and Spices,Herbs,Trigonella foenum-graecum,"Fenugreek  (Trigonella foenum-graecum) is an annual plant in the family Fabaceae, with leaves consisting of three small obovate to oblong leaflets. It is cultivated worldwide as a semiarid crop. Its seeds and its leaves are common ingredients in dishes from South Asia. Fenugreek is used as a herb (dried or fresh leaves), spice (seeds), and vegetable (fresh leaves, sprouts, and microgreens). Sotolon is the chemical responsible for fenugreek's distinctive sweet smell. Cuboid-shaped, yellow- to amber-coloured fenugreek seeds are frequently encountered in the cuisines of the Indian subcontinent, used both whole and powdered in the preparation of pickles, vegetable dishes dal, and spice mixes such as panch phoron and sambar powder. They are often roasted to reduce bitterness and enhance flavour. Constituents of fenugreek seeds include flavonoids, alkaloids, coumarins, vitamins, and saponins; the most prevalent alkaloid is trigonelline and coumarins include cinnamic acid and scopoletin (Wikipedia)."
148,187,Grains,Cereals,Triticum aestivum,"Common wheat, Triticum aestivum (also known as bread wheat), is a cultivated wheat species."
149,188,Fruits,Berries,Vaccinium,"Vaccinium is a genus of shrubs or dwarf shrubs in the plant Family Ericaceae. The fruit of many species are eaten by humans and some are of commercial importance, including the cranberry, blueberry, bilberry or whortleberry, lingonberry or cowberry, and huckleberry. Like many other ericaceous plants, they are generally restricted to acidic soils."
150,191,Fruits,Berries,Vaccinium corymbosum,"Vaccinium corymbosum, the Northern highbush blueberry, is a species of blueberry native to eastern North America, from the Great Lakes region east to Nova Scotia, and south through the Northeastern United States and Appalachian region, to the Southeastern United States in Mississippi. Other common names include blue huckleberry, tall huckleberry, swamp huckleberry, high blueberry, and swamp blueberry.The fruit is a 0.25–0.5 inches (6.4–12.7 mm) diameter blue-black berry. This plant is found in wooded or open areas with moist acidic soils."
151,192,Fruits,Berries,Vaccinium macrocarpon,"Vaccinium macrocarpon (also called Large cranberry, American Cranberry and Bearberry) is a cranberry of the subgenus Oxycoccus and genus Vaccinium. It is native to North America. Preliminary studies show V. macrocarpon fruit has antibacterial activity against the intestinal pathogens Escherichia coli and Listeria monocytogenes."
152,193,Fruits,Berries,Vaccinium myrtillus,"Bilberry is any of several species of low-growing shrubs in the genus Vaccinium, bearing edible berries. The species most often referred to is Vaccinium myrtillus L. , but there are several other closely related species."
153,194,Fruits,Berries,Vaccinium vitis-idaea,"Vaccinium vitis-idaea (lingonberry or cowberry) is a short evergreen shrub in the heath family that bears edible sour, slightly sweet, slightly bitter fruit, native to boreal forest and Arctic tundra throughout the Northern Hemisphere from Eurasia to North America. In the past it was seldom cultivated, but fruit was commonly collected in the wild. Recently, commercial cultivation has begun in the U.S. Pacific Northwest."
154,195,Herbs and Spices,Spices,Vanilla,"Vanilla is a flavor derived from orchids of the genus Vanilla, primarily from the Mexican species, flat-leaved vanilla (V. planifolia). The word vanilla, derived from the diminutive of the Spanish word vaina (vaina itself meaning sheath or pod), simply translates as little pod. Pre-Columbian Mesoamerican people cultivated the vine of the vanilla orchid, called tlilxochitl by the Aztecs, and Spanish conquistador Hernán Cortés is credited with introducing both vanilla and chocolate to Europe in the 1520s."
155,197,Grains,Beans,Vicia faba,"Vicia faba, also known as the broad bean, fava bean, faba bean, field bean, bell bean, or tic bean, is a species of bean (Fabaceae) native to North Africa, southwest and south Asia, and extensively cultivated elsewhere. A variety Vicia faba var. equina Pers. - horse bean has been provisionally recognized.
Broad beans are eaten while still young and tender, enabling harvesting to begin as early as the middle of spring for plants started under glass or overwintered in a protected location, but even the main crop sown in early spring will be ready from mid to late summer. Horse beans, left to mature fully, are usually harvested in the late autumn. The young leaves of the plant can also be eaten either raw or cooked like spinach."
156,198,Grains,Beans,Vigna angularis,"The azuki bean, also known as adzuki or aduki, is an annual vine, Vigna angularis, widely grown throughout East Asia and the Himalayas for its small (approximately 5 mm) bean. The cultivars most familiar in Northeast Asia have a uniform red color. However, white, black, gray and variously mottled varieties are also known. Scientists presume Vigna angularis var. nipponensis is the progenitor."
157,199,Grains,Beans,Vigna mungo,"Vigna mungo, known as Urad Dal, black gram, black lentil (not to be confused with the much smaller true black lentil (Lens culinaris)), white lentil, black matpe bean, is a bean grown in Indian subcontinent. It, along with the mung bean, was placed in Phaseolus, but has since been transferred to Vigna. At one time it was considered to belong to the same species as the mung bean. The product sold as ""black lentil"" is usually the whole urad bean or urad dal. The product sold as ""white lentil"" is the same lentil with the black skin removed."
158,200,Grains,Beans,Vigna radiata,"The mung or moong bean (also known as green gram or golden gram) is the seed of Vigna radiata, native to the Indian subcontinent, and mainly cultivated in China, Thailand, Philippines, Indonesia, Burma, Bangladesh and India, but also in hot and dry regions of Southern Europe and the Southern United States. It is used as a foodstuff in both savoury and sweet dishes."
